CODADM_A_1,CODADM_B_1,DIFERENCIA_1,CODADM_A_2,CODADM_B_2,DIFERENCIA_2,SALDO,ESTADO
031,780,"-308.741,66",,,,"-308.741,66",PENDIENTE
803,795,"-6.694.278,77",,,,"-6.694.278,77",PENDIENTE
R32,781,"6.972.563,62",,,,"6.972.563,62",PENDIENTE
I09,I10,"30.456,79",,,,"30.456,79",PENDIENTE
