CODADM_A,CODADM_B
782,S83
783,S82
816,CCC
817,CII
710,733
711,734
J21,J25
796,SPC
788,789
I06,I12
J22,J26
035,121
366,396
ACE,ACP
AFE,AFP
LPP,LPW
784,SLA
031,780
803,795
R32,781
I09,I10
